,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
111,SPXW250310P05720000,2025-03-07 21:14:54+00:00,5720.0,17.7,17.8,18.4,-31.009998,-63.662487,1631.0,417.0,0.22629557891845703,False,REGULAR,USD
112,SPXW250310P05725000,2025-03-07 21:14:53+00:00,5725.0,19.1,19.3,19.9,-28.699999,-60.04184,1853.0,621.0,0.22586833709716797,False,REGULAR,USD
113,SPXW250310P05730000,2025-03-07 21:14:04+00:00,5730.0,21.7,20.9,21.5,-27.68,-56.05508,2924.0,293.0,0.2255021298217773,False,REGULAR,USD
114,SPXW250310P05735000,2025-03-07 21:14:26+00:00,5735.0,23.04,22.5,23.2,-28.489998,-55.288177,1500.0,302.0,0.22517406913757324,False,REGULAR,USD
115,SPXW250310P05740000,2025-03-07 21:14:54+00:00,5740.0,23.96,24.3,24.9,-30.420002,-55.939686,2687.0,307.0,0.22425092163085933,False,REGULAR,USD
116,SPXW250310P05745000,2025-03-07 21:13:09+00:00,5745.0,27.2,26.1,26.8,-28.649998,-51.29812,1082.0,253.0,0.22397626617431637,False,REGULAR,USD
117,SPXW250310P05750000,2025-03-07 21:14:40+00:00,5750.0,28.0,28.0,28.7,-31.0,-52.54237,2717.0,1223.0,0.22309889457702634,False,REGULAR,USD
118,SPXW250310P05755000,2025-03-07 21:14:49+00:00,5755.0,29.6,30.1,30.8,-31.199999,-51.315792,1053.0,513.0,0.22281660980224605,False,REGULAR,USD
119,SPXW250310P05760000,2025-03-07 21:14:14+00:00,5760.0,32.79,32.2,32.9,-30.61,-48.280758,1797.0,408.0,0.2219316088867187,False,REGULAR,USD
120,SPXW250310P05765000,2025-03-07 21:13:42+00:00,5765.0,35.15,34.5,35.2,-31.049995,-46.903316,1129.0,128.0,0.22161117752075193,False,REGULAR,USD
121,SPXW250310P05770000,2025-03-07 21:14:26+00:00,5770.0,37.37,36.8,37.6,-31.329998,-45.604073,1948.0,191.0,0.22126022888183594,False,REGULAR,USD
122,SPXW250310P05775000,2025-03-07 21:13:37+00:00,5775.0,39.95,39.3,40.1,-40.95,-50.618046,2562.0,306.0,0.22087876296997067,True,REGULAR,USD
123,SPXW250310P05780000,2025-03-07 21:11:27+00:00,5780.0,43.3,41.9,42.6,-32.820004,-43.116135,461.0,174.0,0.21987169296264647,True,REGULAR,USD
124,SPXW250310P05785000,2025-03-07 21:09:48+00:00,5785.0,44.5,44.6,45.4,-31.900002,-41.753925,281.0,1065.0,0.22001665000915524,True,REGULAR,USD
125,SPXW250310P05790000,2025-03-07 21:13:37+00:00,5790.0,48.05,47.4,48.3,-30.850002,-39.10013,442.0,492.0,0.22013108978271478,True,REGULAR,USD
126,SPXW250310P05795000,2025-03-07 21:13:32+00:00,5795.0,51.15,50.3,51.3,-30.650002,-37.469437,238.0,123.0,0.22023790023803708,True,REGULAR,USD
127,SPXW250310P05800000,2025-03-07 21:13:32+00:00,5800.0,54.2,53.3,54.3,-31.02,-36.399906,1359.0,2221.0,0.2197114772796631,True,REGULAR,USD
128,SPXW250310P05805000,2025-03-07 21:13:27+00:00,5805.0,57.36,56.4,57.5,-33.839996,-37.10526,211.0,162.0,0.2197953997802734,True,REGULAR,USD
